"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","2u2","","Soldered footprints:0603C","1",""
"C2","1n","","Soldered footprints:0603C","1",""
"D1,D3","M4_DIODA","","Soldered footprints:M4_DIODA","2",""
"D2","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700200","","Soldered footprints:PCB","1",""
"K1","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"K2","TERMINAL_KF235-5.0-3P","","Soldered footprints:TERMINAL_KF235-5.0-3P","1",""
"R1","4k7","","Soldered footprints:0603R","1",""
"R2","2k2","","Soldered footprints:0402R","1",""
"R3","1k","","Soldered footprints:0603R","1",""
"U1","NCV7329","","Soldered footprints:SOIC−8","1",""
